2000268900遅れ おくれ 延迟，滞后，晚点
2040207400御~ おん~ 增添敬意，凸显礼貌，比[お]更为郑重
0040916000恩恵 おんけい 恩惠，恩情
2041315000温室 おんしつ 温室，暖房
2041769600温帯 おんたい 温带
2042101500温暖 おんだん 温暖，气候暖和
2042575200音読み おんよみ 音读
2043052600音量 おんりょう 音量
2043481000可 か 可以，认可；评定等级时的“中”，表示不好但能及格
2044338300~下 ~か 在…之下
2044775600~歌 ~か …歌，歌曲
2045201800カー car 车，车辆；汽车
2045754100カーブ curve 弯，曲线，拐弯
2046221500ガール girl 姑娘，少女，女孩
2046721500ガールフレンド girlfriend 女朋友，女性朋友
2047115100~海 ~かい …海，大海
2047486700~界 ~かい …界，界限，境界；限定的范围，也可指社会
2048389500~街 ~がい …街，街道
2048789600害 がい 损害，害处，妨碍
0049867900外~ がい~ 外面的，外部的…,在外…
2049822500~外 ~がい 在…之外，不算
2050335900買い入れる かいいれる 买进，进货；收购
2050986900開花 かいか 开花，花朵盛开；事物蓬勃发展
2051677500開会 かいかい 开会
2051994800改革 かいかく 改革
2052536500貝殻 かいがら 贝壳
2053634500開館 かいかん 开馆
2054167900改行 かいぎょう 换行，另起一行
2054638100解雇 かいこ 解雇
2054984100会合 かいごう 集合，集会
2055410900外交 がいこう 外交
2055742900開催 かいさい 举办，举行，召开
2056300700改札 かいさつ 检票，检票处，检票员
2056936900解散 かいさん 解散，解体
2057368700解釈 かいしゃく 解释，理解
2058270800外相 がいしょう 外相，外交部长，外务大臣
2058929700海水浴 かいすいよく 海水浴
2059378700回数 かいすう 回数，次数
2059820400回数券 かいすうけん 联票，套票
2060196800改正 かいせい 改正，更改，修改
2060702900快晴 かいせい 天空晴朗，大晴天
2061132100改造 かいぞう 改变，改造
2061526400会談 かいだん 会谈
2061844800懐中電灯 かいちゅうでんとう 手电筒
2062610500快適 かいてき 舒适，惬意
2062993400回転 かいてん 旋转，转动；周转
2063460900回答 かいとう 回答
2064009700ガイドブック guidebook 指导手册，指南
2064512700海抜 かいばつ 海拔
2065229700外部 がいぶ 外部
2065489600海面 かいめん 海面
2065752600買い求める かいもとめる 购买，收购，求购
2066302500海洋 かいよう 海洋
2066746900外来 がいらい 外来
2067310900回覧 かいらん 传阅
2067600400概論 がいろん 概论
0068225300却って かえって 反而，反倒
0068733000返る かえる 恢复，还原；有反应
2069291300蛙 かえる 青蛙
0069720000顔付き かおつき 表情，相貌，面部神情
2070303300画家 がか 画家
2070961700課外 かがい 课外
0071610900抱える かかえる 抱着，夹(在腋下)；承担，负担
0072258100係わる かかわる 与…有关系，涉及，牵连到；拘泥于…
2073058900柿 かき 柿子
2073324600書き言葉 かきことば 书面语
2073854000書き込む かきこむ 写入，填写
2074352200書留 かきとめ 挂号，挂号邮件
2074786700書き留める かきとめる (为避免忘记)记下来，写下来
2075299300書き取り かきとり 听写，默写；记录
2075852100書き取る かきとる 照原文写下来；记录，听写
2076443700垣根 かきね 篱笆，栅栏；墙根，墙角；障碍(物)
2077202300限りない かぎりない 无限的，无边无际的，无比的
2077779000欠く かく 缺少，缺乏；弄坏，损坏
2078451400額 がく 金额
2078923700額 がく 画框，匾额
2079435000架空 かくう 架空，架设在空中的；空想，虚构
2080112500学業 がくぎょう 学业，学习，专研，学问
2080712500覚悟 かくご 思想准备，决心
2081227700各自 かくじ 各自
2081596000学士 がくし 学士
2082340000確実 かくじつ 确定，确凿
2082816700拡充 かくじゅう 扩充，扩张
2083166700学術 がくじゅつ 学术
2083572100確信 かくしん 确信，坚信
2083960700学説 がくせつ 学说
2084565100拡張 かくちょう 扩张
2085082200学長 がくちょう 大学校长；统率，监管者
0085673400完了 完了 完了
